day,macro_store,region,subregion,total_streams,total_revenue,total_downloads,total_products
2022-01-01,amazon,Oceania,Australia and New Zealand,"221,0","0,982536","0,0",45
2022-01-01,facebook,Oceania,Australia and New Zealand,"905,0","3,3615","0,0",88
2022-01-01,spotify,Oceania,Australia and New Zealand,"32312,0","63,961677000000016","0,0",809
2022-01-01,tiktok,Oceania,Australia and New Zealand,"60,0","0,048712500000000006","0,0",18
2022-01-01,youtube,Oceania,Australia and New Zealand,"35041,0","32,5258575","0,0",502
2022-01-01,amazon,Americas,Caribbean,"25,0","0,07506650000000001","0,0",18
2022-01-01,facebook,Americas,Caribbean,"8303,0","12,853439","0,0",290
2022-01-01,spotify,Americas,Caribbean,"32638,0","24,6340965","0,0",381
2022-01-01,tiktok,Americas,Caribbean,"728,0","0,5910289999999998","0,0",57
2022-01-01,youtube,Americas,Caribbean,"28274,0","5,519526999999999","0,0",477
2022-01-01,amazon,Americas,Central America,"34380,0","36,295604499999996","0,0",1363
2022-01-01,facebook,Americas,Central America,"395514,0","150,8085175","0,0",1561
2022-01-01,spotify,Americas,Central America,"1160322,0","633,9026705000009","0,0",3014
2022-01-01,tiktok,Americas,Central America,"9555,0","7,753965","0,0",225
2022-01-01,youtube,Americas,Central America,"756016,0","217,56640850000014","0,0",3346
2022-01-01,facebook,Asia,Central Asia,"881,0","0,6895789999999999","0,0",77
2022-01-01,spotify,Asia,Central Asia,"1612,0","0,5057904999999999","0,0",81
2022-01-01,tiktok,Asia,Central Asia,"403,0","0,32717500000000005","0,0",35
2022-01-01,youtube,Asia,Central Asia,"805,0","0,1579425","0,0",2
2022-01-01,facebook,Africa,Eastern Africa,"300,0","0,14738500000000002","0,0",58
2022-01-01,spotify,Africa,Eastern Africa,"2925,0","0,8084954999999999","0,0",180
2022-01-01,tiktok,Africa,Eastern Africa,"916,0","0,7436539999999999","0,0",28
2022-01-01,youtube,Africa,Eastern Africa,"1594,0","0,165162","0,0",64
2022-01-01,amazon,Asia,Eastern Asia,"1101,0","3,8800444999999995","0,0",139
2022-01-01,facebook,Asia,Eastern Asia,"693,0","2,0831984999999995","0,0",172
2022-01-01,spotify,Asia,Eastern Asia,"15138,0","20,055518000000006","0,0",772
2022-01-01,tiktok,Asia,Eastern Asia,"130,0","0,10554150000000001","0,0",20
2022-01-01,youtube,Asia,Eastern Asia,"34157,0","100,90456700000001","0,0",793
2022-01-01,amazon,Europe,Eastern Europe,"12,0","0,018231","0,0",10
2022-01-01,facebook,Europe,Eastern Europe,"3428,0","3,291056","0,0",238
2022-01-01,spotify,Europe,Eastern Europe,"53071,0","23,466467999999992","0,0",1546
2022-01-01,tiktok,Europe,Eastern Europe,"9849,0","7,991836499999999","0,0",169
2022-01-01,youtube,Europe,Eastern Europe,"334474,0","119,84292949999997","0,0",1478
2022-01-01,facebook,Oceania,Melanesia,"19,0","0,012133999999999999","0,0",4
2022-01-01,spotify,Oceania,Melanesia,"199,0","0,08359249999999999","0,0",15
2022-01-01,tiktok,Oceania,Melanesia,"4,0","0,0032475","0,0",2
2022-01-01,youtube,Oceania,Melanesia,"25,0","0,0195735","0,0",5
2022-01-01,facebook,Oceania,Micronesia,"30,0","0,0365185","0,0",7
2022-01-01,tiktok,Oceania,Micronesia,"1,0","0,000812","0,0",1
2022-01-01,youtube,Oceania,Micronesia,"43,0","0,023538999999999997","0,0",14
2022-01-01,facebook,Africa,Middle Africa,"386,0","0,109936","0,0",11
2022-01-01,spotify,Africa,Middle Africa,"1069,0","0,14262550000000004","0,0",120
2022-01-01,tiktok,Africa,Middle Africa,"4333,0","3,517734999999999","0,0",35
2022-01-01,facebook,Africa,Northern Africa,"677,0","0,6751315","0,0",124
2022-01-01,spotify,Africa,Northern Africa,"1289,0","0,34332500000000005","0,0",193
2022-01-01,tiktok,Africa,Northern Africa,"787,0","0,638926","0,0",39
2022-01-01,youtube,Africa,Northern Africa,"19681,0","0,5928319999999999","0,0",114
2022-01-01,amazon,Americas,Northern America,"139546,0","688,0155589999999","0,0",1999
2022-01-01,facebook,Americas,Northern America,"67265,0","211,021445","0,0",1179
2022-01-01,spotify,Americas,Northern America,"504499,0","951,8660689999997","0,0",2797
2022-01-01,tiktok,Americas,Northern America,"2281,0","1,8518354999999995","0,0",197
2022-01-01,youtube,Americas,Northern America,"667140,0","1208,833561999999","0,0",3673
2022-01-01,amazon,Europe,Northern Europe,"6582,0","38,75288","0,0",406
2022-01-01,facebook,Europe,Northern Europe,"1082,0","4,332984000000001","0,0",304
2022-01-01,spotify,Europe,Northern Europe,"150247,0","361,0026715","0,0",2264
2022-01-01,tiktok,Europe,Northern Europe,"374,0","0,3036344999999999","0,0",62
2022-01-01,youtube,Europe,Northern Europe,"37366,0","63,15447200000001","0,0",1368
2022-01-01,facebook,Oceania,Polynesia,"26,0","0,0297755","0,0",7
2022-01-01,tiktok,Oceania,Polynesia,"2,0","0,001624","0,0",2
2022-01-01,youtube,Oceania,Polynesia,"40,0","0,035841","0,0",12
2022-01-01,amazon,Americas,South America,"156920,0","128,048198","0,0",2852
2022-01-01,facebook,Americas,South America,"704630,0","773,0410029999989","0,0",3097
2022-01-01,spotify,Americas,South America,"6432722,0","4027,6789865000023","0,0",8081
2022-01-01,tiktok,Americas,South America,"26564,0","20,93287599999998","0,0",869
2022-01-01,youtube,Americas,South America,"15129801,0","6100,731069500004","0,0",10082
2022-01-01,facebook,Asia,South-Eastern Asia,"7413,0","6,855581999999997","0,0",299
2022-01-01,spotify,Asia,South-Eastern Asia,"16502,0","8,771535999999998","0,0",761
2022-01-01,tiktok,Asia,South-Eastern Asia,"4943,0","4,011691499999998","0,0",249
2022-01-01,youtube,Asia,South-Eastern Asia,"208642,0","17,022057","0,0",553
2022-01-01,facebook,Africa,Southern Africa,"671,0","0,5851235","0,0",61
2022-01-01,spotify,Africa,Southern Africa,"2029,0","0,7654890000000001","0,0",184
2022-01-01,tiktok,Africa,Southern Africa,"1785,0","1,448336","0,0",18
2022-01-01,youtube,Africa,Southern Africa,"3831,0","1,6768105000000002","0,0",198
2022-01-01,facebook,Asia,Southern Asia,"1770,0","0,7577679999999999","0,0",167
2022-01-01,spotify,Asia,Southern Asia,"7988,0","3,317883","0,0",352
2022-01-01,tiktok,Asia,Southern Asia,"6042,0","4,905180499999999","0,0",30
2022-01-01,youtube,Asia,Southern Asia,"22644,0","3,5131640000000006","0,0",357
2022-01-01,amazon,Europe,Southern Europe,"10554,0","20,6749535","0,0",546
2022-01-01,facebook,Europe,Southern Europe,"24416,0","60,593260499999985","0,0",934
2022-01-01,spotify,Europe,Southern Europe,"363918,0","317,9514420000001","0,0",2658
2022-01-01,tiktok,Europe,Southern Europe,"6342,0","5,148739499999998","0,0",139
